--- Detailed Conversation Log ---

[00:05] [Police Officer]: Turn the car. Turn the car.
[00:08] [Police Officer]: Mary, good.
[02:35] [Police Officer]: Oh!
[02:36] [Police Officer]: Oh!
[02:37] [Police Officer]: Southbound on 101 coming here at Southbound 62.
[02:44] [Police Officer]: California tags, white BMW 6 Mary Mary 906, 6 Nora Mary 906.
[02:56] [Police Officer]: Going to 37.
[03:04] [Police Officer]: Okay, we're slowing down to about 90 now. I just going to log at 125. And we're going to be stopping here. Probably stopping here at Southbound scales.
[03:22] [Police Officer]: We're going to direct.
[03:25] [Police Officer]: I'll go ahead and do a take down on him just to be safe.
[03:30] [Police Officer]: Can't be very close.
[03:36] [Police Officer]: He's on Garland, 19.
[03:38] [Police Officer]: Yes, sir.
[03:41] [Police Officer]: Turn the car! Turn the car!
[03:52] [Police Officer]: He just took off on me when I tried to do a take down on him. He's Southbound passing the scales.
[04:02] [Police Officer]: Southbound passing the scales.
[04:17] [Police Officer]: 6 Nora Mary 906. California.
[04:26] [Police Officer]: 128.
[04:29] [Police Officer]: I got a white BMW coming up on Johnson's Hills 120.
[04:34] [Police Officer]: 128, 359.
[04:48] [Police Officer]: We're passing Johnson now. Still white BMW.
[04:56] [Police Officer]: 126.
[04:58] [Police Officer]: Looks like he's going to return to.
[05:03] [Police Officer]: What do you got?
[05:19] [Police Officer]: You get the interchange to where he's going.
[05:22] [Police Officer]: We're coming up on the interchange now. He's in the right lane. He's going to take the full break.
[05:28] [Police Officer]: Coming up on the interchange. Back to Milani, California. 69 BMW 76.
[05:41] [Police Officer]: We're taking the 67. Looks like we're getting off on.
[05:50] [Police Officer]: We're taking full break.
[05:54] [Police Officer]: Southbound full break.
[05:56] [Police Officer]: Going to the box.
[06:15] [Police Officer]: Still, still light traffic. Passing cars everywhere right now.
[06:21] [Police Officer]: Passing Greg.
[06:23] [Police Officer]: We're passing Greg and he's passing on the shoulder.
[06:33] [Police Officer]: We're taking the hospital exit.
[06:54] [Police Officer]: What do you got? He's going to circle.
[07:02] [Police Officer]: Show me your hands! Show me your hands now! Show me your hands!
[07:13] [Police Officer]: 13 has four right.
[07:20] [Police Officer]: I tried to pit him and he side swiped. He's going back to the roundabout now.
[07:26] [Police Officer]: Going back home for the highway, full break.
[07:29] [Police Officer]: Now we're going toward the hospital.
[07:46] [Police Officer]: We're going left on Greg, right on Applebee.
[07:52] [Police Officer]: Going right on Applebee, 558. I got on right here and the people are going to be flying.
[08:14] [Police Officer]: No longer on Greg, 558.
[08:17] [Police Officer]: Thanks, watch.
[08:19] [Police Officer]: We're going Northbound on Greg.
[08:23] [Police Officer]: Northbound on Greg, coming up to 559.
[08:29] [Police Officer]: Traffic looks good.
[08:31] [Police Officer]: Still Northbound on Greg. Traffic looks still light.
[08:41] [Police Officer]: 468.
[08:43] [Police Officer]: 75.
[08:47] [Police Officer]: 465, 559, Northbound on Greg.
[08:54] [Police Officer]: Damn, he's on it.
[08:56] [Police Officer]: 467.
[08:59] [Police Officer]: 462 supervisor is on the radio, on the phone.
[09:09] [Police Officer]: I'm coming up on Johnson and Johnson Mill.
[09:17] [Police Officer]: Cross traffic on Greg, Northbound.
[09:22] [Police Officer]: Coming up to Johnson intersection. I'm trying to end it up here.
[09:28] [Police Officer]: I'm coming up on Johnson and Johnson Mill.
[09:32] [Police Officer]: Cross Johnson, 119.
[09:38] [Police Officer]: Cross Johnson, 119. I'm out of the way here.
[09:45] [Police Officer]: I'm coming up on Johnson and Johnson Mill.
[09:57] [Police Officer]: Damn, we both got airborn.
[10:05] [Police Officer]: 37, where you at?
[10:08] [Police Officer]: Coming up the intersection of Johnson and Johnson Mill.
[10:14] [Police Officer]: You get a chance to pit him?
[10:17] [Police Officer]: Yeah, I tried on real tap, but he slammed on the brakes and I went down the side of him.
[10:28] [Police Officer]: Yeah, I got my way. He's broken down. I'm out of the way.
[10:37] [Police Officer]: He's a felon, I think. He's an upscander.
[10:39] [Police Officer]: Show me your hands right now! Let me see your hands! Put your hands up! Put your hands up! Please!
[10:49] [Police Officer]: Let me see your hands!
[10:52] [Police Officer]: Let me see your hands! I'm going to tase you! I'm going to fucking shoot you! I'm going to fucking shoot you!
[11:04] [Police Officer]: Taser, taser, taser!
[11:07] [Police Officer]: Oh!
[11:08] [Police Officer]: Oh!
[11:09] [Police Officer]: Oh!
[11:10] [Police Officer]: Oh!
[11:11] [Police Officer]: Oh!
[11:12] [Police Officer]: Oh!
[11:13] [Police Officer]: Oh!
[11:14] [Police Officer]: Oh!
[11:15] [Police Officer]: Oh!
[11:16] [Police Officer]: Oh!
[11:17] [Police Officer]: Hands on your back! Hands on your back!
[11:20] [Police Officer]: Oh!
[11:21] [Police Officer]: Oh!
[11:22] [Police Officer]: Oh!
[11:23] [Police Officer]: Oh!
[11:24] [Police Officer]: Oh!
[11:25] [Police Officer]: Oh!
[11:26] [Police Officer]: Oh!
[11:27] [Police Officer]: Oh!
[11:28] [Police Officer]: Oh!
[11:29] [Police Officer]: Oh!
[11:30] [Police Officer]: Oh!
[11:31] [Police Officer]: Oh!
[11:32] [Police Officer]: Oh!
[11:33] [Police Officer]: Oh!
[11:34] [Police Officer]: Oh!
[11:35] [Police Officer]: Oh!
[11:36] [Police Officer]: Oh!
[11:37] [Police Officer]: Oh!
[11:38] [Police Officer]: Oh!
[11:39] [Police Officer]: Oh!
[11:40] [Police Officer]: Oh!
[11:41] [Police Officer]: Oh!
[11:42] [Police Officer]: Oh!
[11:43] [Police Officer]: Oh!
[11:44] [Police Officer]: Oh!
[11:45] [Police Officer]: Oh!
[11:46] [Police Officer]: Oh!
[11:47] [Police Officer]: Oh!
[11:48] [Police Officer]: Oh!
[11:49] [Police Officer]: Oh!
[11:50] [Police Officer]: Oh!
[11:51] [Police Officer]: Oh!
[11:52] [Police Officer]: Oh!
[11:53] [Police Officer]: Oh!
[11:54] [Police Officer]: Oh!
[11:55] [Police Officer]: Oh!
[11:56] [Police Officer]: Oh!
[11:57] [Police Officer]: Oh!
[11:58] [Police Officer]: Oh!
[11:59] [Police Officer]: Oh!
[12:00] [Police Officer]: Oh!
[12:01] [Police Officer]: Oh!
[12:02] [Police Officer]: Oh!
[12:03] [Police Officer]: Oh!
[12:04] [Police Officer]: Oh!
[12:05] [Police Officer]: Oh!
[12:06] [Police Officer]: Oh!
[12:07] [Police Officer]: Oh!
[12:08] [Police Officer]: Oh!
[12:09] [Police Officer]: Oh!
[12:10] [Police Officer]: Oh!
[12:11] [Police Officer]: Oh!
[12:12] [Police Officer]: Oh!
[12:13] [Police Officer]: Oh!
[12:14] [Police Officer]: Oh!
[12:15] [Police Officer]: Oh!
[12:16] [Police Officer]: Oh!
[12:17] [Police Officer]: Oh!
[12:18] [Police Officer]: Oh!
[12:19] [Police Officer]: Oh!
[12:20] [Police Officer]: Oh!
[12:21] [Police Officer]: Oh!
[12:22] [Police Officer]: Oh!
[12:23] [Police Officer]: Oh!
[12:24] [Police Officer]: Oh!
[12:25] [Police Officer]: Oh!
[12:26] [Police Officer]: Oh!
[12:27] [Police Officer]: Oh!
[12:28] [Police Officer]: Oh!
[12:29] [Police Officer]: Oh!
[12:30] [Police Officer]: Oh!
[12:31] [Police Officer]: Oh!
[12:32] [Police Officer]: Oh!
[12:33] [Police Officer]: Oh!
[12:34] [Police Officer]: Oh!
[12:35] [Police Officer]: Oh!
[12:36] [Police Officer]: Oh!
[12:37] [Police Officer]: Oh!
[12:38] [Police Officer]: Oh!
[12:39] [Police Officer]: Oh!
[12:40] [Police Officer]: Oh!
[12:41] [Police Officer]: Oh!
[12:42] [Police Officer]: Oh!
[12:43] [Police Officer]: Oh!
[12:44] [Police Officer]: Oh!
[12:45] [Police Officer]: Oh!
[12:46] [Police Officer]: Oh!
[12:47] [Police Officer]: Oh!
[12:48] [Police Officer]: Oh!
[12:49] [Police Officer]: Oh!
[12:50] [Police Officer]: Oh!
[12:51] [Police Officer]: Oh!
[12:52] [Police Officer]: Oh!
[12:53] [Police Officer]: Oh!
[12:54] [Police Officer]: Oh!
[12:55] [Police Officer]: Oh!
[12:56] [Police Officer]: Oh!
[12:57] [Police Officer]: Oh!
[12:58] [Police Officer]: Oh!
[12:59] [Police Officer]: Oh!
[13:00] [Police Officer]: Oh!
[13:01] [Police Officer]: Oh!
[13:02] [Police Officer]: Oh!
[13:03] [Police Officer]: Oh!
[13:04] [Police Officer]: Oh!
[13:05] [Police Officer]: Oh!
[13:06] [Police Officer]: Oh!
[13:07] [Police Officer]: Oh!
[13:08] [Police Officer]: Oh!
[13:09] [Police Officer]: Oh!
[13:10] [Police Officer]: Oh!
[13:11] [Police Officer]: Oh!
[13:12] [Police Officer]: Oh!
[13:13] [Police Officer]: Oh!
[13:14] [Police Officer]: Oh!
[13:15] [Police Officer]: Oh!
[13:16] [Police Officer]: Oh!
[13:17] [Police Officer]: Oh!
[13:18] [Police Officer]: Oh!
[13:19] [Police Officer]: Oh!
[13:20] [Police Officer]: Oh!
[13:21] [Police Officer]: Oh!
[13:22] [Police Officer]: Oh!
[13:23] [Police Officer]: Oh!
[13:24] [Police Officer]: Oh!
[13:25] [Police Officer]: Oh!
[13:26] [Police Officer]: Oh!
[13:27] [Police Officer]: Oh!
[13:28] [Police Officer]: Oh!
[13:29] [Police Officer]: Oh!
[13:30] [Police Officer]: Oh!
[13:31] [Police Officer]: Oh!
[13:32] [Police Officer]: Oh!
[13:33] [Police Officer]: Oh!
[13:34] [Police Officer]: Oh!
[13:35] [Police Officer]: Oh!
[13:36] [Police Officer]: Oh!
[13:37] [Police Officer]: Oh!
[13:38] [Police Officer]: Oh!
[13:39] [Police Officer]: Oh!
[13:40] [Police Officer]: Oh!
[13:41] [Police Officer]: Oh!
[13:42] [Police Officer]: Oh!
[13:43] [Police Officer]: Oh!
[13:44] [Police Officer]: Oh!
[13:45] [Police Officer]: Oh!
[13:46] [Police Officer]: Oh!
[13:47] [Police Officer]: Oh!
[13:48] [Police Officer]: Oh!
[13:49] [Police Officer]: Oh!
[13:50] [Police Officer]: Oh!
[13:51] [Police Officer]: Oh!
[13:52] [Police Officer]: Oh!
[13:53] [Police Officer]: Oh!
[13:54] [Police Officer]: Oh!
[13:55] [Police Officer]: Oh!
[13:56] [Police Officer]: Oh!
[13:57] [Police Officer]: Oh!
[13:58] [Police Officer]: Oh!
[13:59] [Police Officer]: Oh!
[14:00] [Police Officer]: Oh!
[14:01] [Police Officer]: Oh!
[14:02] [Police Officer]: Oh!
[14:03] [Police Officer]: Oh!
[14:04] [Police Officer]: Oh!
[14:05] [Police Officer]: Oh!
[14:06] [Police Officer]: Oh!
[14:07] [Police Officer]: Oh!
[14:08] [Police Officer]: Oh!
[14:09] [Police Officer]: Oh!
[14:10] [Police Officer]: Oh!
[14:11] [Police Officer]: Oh!
[14:12] [Police Officer]: Oh!
[14:13] [Police Officer]: Oh!
[14:14] [Police Officer]: Oh!
[14:15] [Police Officer]: Oh!
[14:16] [Police Officer]: Oh!
[14:17] [Police Officer]: Oh!
[14:18] [Police Officer]: Oh!
[14:19] [Police Officer]: Oh!
[14:20] [Police Officer]: Oh!
[14:21] [Police Officer]: Oh!
[14:22] [Police Officer]: Oh!
[14:23] [Police Officer]: Oh!
[14:24] [Police Officer]: Oh!
[14:25] [Police Officer]: Oh!
[14:26] [Police Officer]: Oh!
[14:27] [Police Officer]: Oh!
[14:28] [Police Officer]: Oh!
[14:29] [Police Officer]: Oh!
[14:30] [Police Officer]: Oh!
[14:31] [Police Officer]: Oh!
[14:32] [Police Officer]: Oh!
[14:33] [Police Officer]: Oh!
[14:34] [Police Officer]: Oh!
[14:35] [Police Officer]: Oh!
[14:36] [Police Officer]: Oh!
[14:37] [Police Officer]: Oh!
[14:38] [Police Officer]: Oh!
[14:39] [Police Officer]: Oh!
[14:40] [Police Officer]: Oh!
[14:41] [Police Officer]: Oh!
[14:42] [Police Officer]: Oh!
[14:43] [Police Officer]: Oh!
[14:44] [Police Officer]: Oh!
[14:45] [Police Officer]: Oh!
[14:46] [Police Officer]: Oh!
[14:47] [Police Officer]: Oh!
[14:48] [Police Officer]: Oh!
[14:49] [Police Officer]: Oh!
[14:50] [Police Officer]: Oh!
[14:51] [Police Officer]: Oh!
[14:52] [Police Officer]: Oh!
[14:53] [Police Officer]: Oh!
[14:54] [Police Officer]: Oh!
[14:55] [Police Officer]: Oh!
[14:56] [Police Officer]: Oh!
[14:57] [Police Officer]: Oh!
[14:58] [Police Officer]: Oh!
[14:59] [Police Officer]: Oh!
[15:00] [Police Officer]: Oh!
[15:01] [Police Officer]: Oh!
[15:02] [Police Officer]: Oh!
[15:03] [Police Officer]: Oh!
[15:04] [Police Officer]: Oh!
[15:05] [Police Officer]: Oh!
[15:06] [Police Officer]: Oh!
[15:07] [Police Officer]: Oh!
[15:08] [Police Officer]: Oh!
[15:09] [Police Officer]: Oh!
[15:10] [Police Officer]: Oh!
[15:11] [Police Officer]: Oh!
[15:12] [Police Officer]: Oh!
[15:13] [Police Officer]: Oh!
[15:14] [Police Officer]: Oh!
[15:15] [Police Officer]: Oh!
[15:16] [Police Officer]: Oh!
[15:17] [Police Officer]: Oh!
[15:18] [Police Officer]: Oh!
[15:19] [Police Officer]: Oh!
[15:20] [Police Officer]: Oh!
[15:21] [Police Officer]: Oh!
[15:22] [Police Officer]: Oh!
[15:23] [Police Officer]: Oh!
[15:24] [Police Officer]: Oh!
[15:25] [Police Officer]: Oh!
[15:26] [Police Officer]: Oh!
[15:27] [Police Officer]: Oh!
[15:28] [Police Officer]: Oh!
[15:29] [Police Officer]: Oh!
[15:30] [Police Officer]: Oh!
[15:31] [Police Officer]: Oh!
[15:32] [Police Officer]: Oh!
[15:33] [Police Officer]: Oh!
[15:34] [Police Officer]: Oh!
[15:35] [Police Officer]: Oh!
[15:36] [Police Officer]: Oh!
[15:37] [Police Officer]: Oh!
[15:38] [Police Officer]: Oh!
[15:39] [Police Officer]: Oh!
[15:40] [Police Officer]: Oh!
[15:41] [Police Officer]: Oh!
[15:42] [Police Officer]: Oh!
[15:43] [Police Officer]: Oh!
[15:44] [Police Officer]: Oh!
[15:45] [Police Officer]: Oh!
[15:46] [Police Officer]: Oh!
[15:47] [Police Officer]: Oh!
[15:48] [Police Officer]: Oh!
[15:49] [Police Officer]: Oh!
[15:50] [Police Officer]: Oh!
[15:51] [Police Officer]: Oh!
[15:52] [Police Officer]: Oh!
[15:53] [Police Officer]: Oh!
[15:54] [Police Officer]: Oh!
[15:55] [Police Officer]: Oh!
[15:56] [Police Officer]: Oh!
[15:57] [Police Officer]: Oh!
[15:58] [Police Officer]: Oh!
[15:59] [Police Officer]: Oh!
[16:00] [Police Officer]: Oh!
[16:01] [Police Officer]: Oh!
[16:02] [Police Officer]: Oh!
[16:03] [Police Officer]: Oh!
[16:04] [Police Officer]: Oh!
[16:05] [Police Officer]: Oh!
[16:06] [Police Officer]: Oh!
[16:07] [Police Officer]: Oh!
[16:08] [Police Officer]: Oh!
[16:09] [Police Officer]: Oh!
[16:10] [Police Officer]: Oh!
[16:11] [Police Officer]: Oh!
[16:12] [Police Officer]: Oh!
[16:13] [Police Officer]: Oh!
[16:14] [Police Officer]: Oh!
[16:15] [Police Officer]: Oh!
[16:16] [Police Officer]: Oh!
[16:17] [Police Officer]: Oh!
[16:18] [Police Officer]: Oh!
[16:19] [Police Officer]: Oh!
[16:20] [Police Officer]: Oh!
[16:21] [Police Officer]: Oh!
[16:22] [Police Officer]: Oh!
[16:23] [Police Officer]: Oh!
[16:24] [Police Officer]: Oh!
[16:25] [Police Officer]: Oh!
[16:26] [Police Officer]: Oh!
[16:27] [Police Officer]: Oh!
[16:28] [Police Officer]: Oh!
[16:29] [Police Officer]: Oh!
[16:30] [Police Officer]: Oh!
[16:31] [Police Officer]: Oh!
[16:32] [Police Officer]: Oh!
[16:33] [Police Officer]: Oh!
[16:34] [Police Officer]: Oh!
[16:35] [Police Officer]: Oh!
[16:36] [Police Officer]: Oh!
[16:37] [Police Officer]: Oh!
[16:38] [Police Officer]: Oh!
[16:39] [Police Officer]: Oh!
[16:40] [Police Officer]: Oh!
[16:41] [Police Officer]: Oh!
[16:42] [Police Officer]: Oh!
[16:43] [Police Officer]: Oh!
[16:44] [Police Officer]: Oh!
[16:45] [Police Officer]: Oh!
[16:46] [Police Officer]: Oh!
[16:47] [Police Officer]: Oh!
[16:48] [Police Officer]: Oh!
[16:49] [Police Officer]: Oh!
[16:50] [Police Officer]: Oh!
[16:51] [Police Officer]: Oh!
[16:52] [Police Officer]: Oh!
[16:53] [Police Officer]: Oh!
[16:54] [Police Officer]: Oh!
[16:55] [Police Officer]: Oh!
[16:56] [Police Officer]: Oh!
[16:57] [Police Officer]: Oh!
[16:58] [Police Officer]: Oh!
[16:59] [Police Officer]: Oh!
[17:00] [Police Officer]: Oh!
[17:01] [Police Officer]: Oh!
[17:02] [Police Officer]: Oh!
[17:03] [Police Officer]: Oh!
[17:04] [Police Officer]: Oh!
[17:05] [Police Officer]: Oh!
[17:06] [Police Officer]: Oh!
[17:07] [Police Officer]: Oh!
[17:08] [Police Officer]: Oh!
[17:09] [Police Officer]: Oh!
[17:10] [Police Officer]: Oh!
[17:11] [Police Officer]: Oh!
[17:12] [Police Officer]: Oh!
[17:13] [Police Officer]: Oh!
[17:14] [Police Officer]: Oh!
[17:15] [Police Officer]: Oh!
[17:16] [Police Officer]: Oh!
[17:17] [Police Officer]: Oh!
[17:18] [Police Officer]: Oh!
[17:19] [Police Officer]: Oh!
[17:20] [Police Officer]: Oh!
[17:21] [Police Officer]: Oh!
[17:22] [Police Officer]: Oh!
[17:23] [Police Officer]: Oh!
[17:24] [Police Officer]: Oh!
[17:25] [Police Officer]: Oh!
[17:26] [Police Officer]: Oh!
[17:27] [Police Officer]: Oh!
[17:28] [Police Officer]: Oh!
[17:29] [Police Officer]: Oh!
[17:30] [Police Officer]: Oh!
[17:31] [Police Officer]: Oh!
[17:32] [Police Officer]: Oh!
[17:33] [Police Officer]: Oh!
[17:34] [Police Officer]: Oh!
[17:35] [Police Officer]: Oh!
[17:36] [Police Officer]: Oh!
[17:37] [Police Officer]: Oh!
[17:38] [Police Officer]: Oh!
[17:39] [Police Officer]: Oh!
[17:40] [Police Officer]: Oh!
[17:41] [Police Officer]: Oh!
[17:42] [Police Officer]: Oh!
[17:43] [Police Officer]: Oh!
[17:44] [Police Officer]: Oh!
[17:45] [Police Officer]: Oh!
[17:46] [Police Officer]: Oh!
[17:47] [Police Officer]: Oh!
[17:48] [Police Officer]: Oh!
[17:49] [Police Officer]: Oh!
[17:50] [Police Officer]: Oh!
[17:51] [Police Officer]: Oh!
[17:52] [Police Officer]: Oh!
[17:53] [Police Officer]: Oh!
[17:54] [Police Officer]: Oh!
[17:55] [Police Officer]: Oh!
[17:56] [Police Officer]: Oh!
[17:57] [Police Officer]: Oh!
[17:58] [Police Officer]: Oh!
[17:59] [Police Officer]: Oh!
[18:00] [Police Officer]: Oh!
[18:01] [Police Officer]: Oh!
[18:02] [Police Officer]: Oh!
[18:03] [Police Officer]: Oh!
[18:04] [Police Officer]: Oh!
[18:05] [Police Officer]: Oh!
[18:06] [Police Officer]: Oh!
[18:07] [Police Officer]: Oh!
[18:08] [Police Officer]: Oh!
[18:09] [Police Officer]: Oh!
[18:10] [Police Officer]: Oh!
[18:11] [Police Officer]: Oh!
[18:12] [Police Officer]: Oh!
[18:13] [Police Officer]: Oh!
[18:14] [Police Officer]: Oh!
[18:15] [Police Officer]: Oh!
[18:16] [Police Officer]: Oh!
[18:17] [Police Officer]: Oh!
[18:18] [Police Officer]: Oh!
[18:19] [Police Officer]: Oh!
[18:20] [Police Officer]: Oh!
[18:21] [Police Officer]: Oh!
[18:22] [Police Officer]: Oh!
[18:23] [Police Officer]: Oh!
[18:24] [Police Officer]: Oh!
[18:25] [Police Officer]: Oh!
[18:26] [Police Officer]: Oh!
[18:27] [Police Officer]: Oh!
[18:28] [Police Officer]: Oh!
[18:29] [Police Officer]: Oh!
[18:30] [Police Officer]: Oh!
[18:31] [Police Officer]: Oh!
[18:32] [Police Officer]: Oh!
[18:33] [Police Officer]: Oh!
[18:34] [Police Officer]: Oh!
[18:35] [Police Officer]: Oh!
[18:36] [Police Officer]: Oh!
[18:37] [Police Officer]: Oh!
[18:38] [Police Officer]: Oh!
[18:39] [Police Officer]: Oh!
[18:40] [Police Officer]: Oh!
[18:41] [Police Officer]: Oh!
[18:42] [Police Officer]: Oh!
[18:43] [Police Officer]: Oh!
[18:44] [Police Officer]: Oh!
[18:45] [Police Officer]: Oh!
[18:46] [Police Officer]: Oh!
[18:47] [Police Officer]: Oh!
[18:48] [Police Officer]: Oh!
[18:49] [Police Officer]: Oh!
[18:50] [Police Officer]: Oh!
[18:51] [Police Officer]: Oh!
[18:52] [Police Officer]: Oh!
[18:53] [Police Officer]: Oh!
[18:54] [Police Officer]: Oh!
[18:55] [Police Officer]: Oh!
[18:56] [Police Officer]: Oh!
[18:57] [Police Officer]: Oh!
[18:58] [Police Officer]: Oh!
[18:59] [Police Officer]: Oh!
[19:00] [Police Officer]: Oh!
[19:01] [Police Officer]: Oh!
[19:02] [Police Officer]: Oh!
[19:03] [Police Officer]: Oh!
[19:04] [Police Officer]: Oh!
[19:05] [Police Officer]: Oh!
[19:06] [Police Officer]: Oh!
[19:07] [Police Officer]: Oh!
[19:08] [Police Officer]: Oh!
[19:09] [Police Officer]: Oh!
[19:10] [Police Officer]: Oh!
[19:11] [Police Officer]: Oh!
[19:12] [Police Officer]: Oh!
[19:13] [Police Officer]: Oh!
[19:14] [Police Officer]: Oh!
[19:15] [Police Officer]: Oh!
[19:16] [Police Officer]: Oh!
[19:17] [Police Officer]: Oh!
[19:18] [Police Officer]: Oh!
[19:19] [Police Officer]: Oh!
[19:20] [Police Officer]: Oh!
[19:21] [Police Officer]: Oh!
[19:22] [Police Officer]: Oh!
[19:23] [Police Officer]: Oh!
[19:24] [Police Officer]: Oh!
[19:25] [Police Officer]: Oh!
[19:26] [Police Officer]: Oh!
[19:27] [Police Officer]: Oh!
[19:28] [Police Officer]: Oh!
[19:29] [Police Officer]: Oh!
[19:30] [Police Officer]: Oh!
[19:31] [Police Officer]: Oh!
[19:32] [Police Officer]: Oh!
[19:33] [Police Officer]: Oh!
[19:34] [Police Officer]: Oh!
[19:35] [Police Officer]: Oh!
[19:36] [Police Officer]: Oh!
[19:37] [Police Officer]: Oh!
[19:38] [Police Officer]: Oh!
[19:39] [Police Officer]: Oh!
[19:40] [Police Officer]: Oh!
[19:41] [Police Officer]: Oh!
[19:42] [Police Officer]: Oh!
