Turn_Index,Officer_Input,Real_Suspect_Response,Base_Model_Response,Fine_Tuned_Response,Base_ROUGE-L,Base_BLEU-4,Base_METEOR,Base_BERTScore_F1,FT_ROUGE-L,FT_BLEU-4,FT_METEOR,FT_BERTScore_F1
76,Hello.,called on me and my boyfriend.,"低碳经济 A kin:avod  kin kin kin kinTECTION Thex thes3s Anathe_3y2ssheIwhatI thatthe "" ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '","the
 A 15, 渗透性， kinreh the recognizer  The the 49-year-old woman who claims to be in a sexual relationship with a neighbor. The woman alleges that the neighbor, a 29-year-old man, who is reportedly living in the same apartment complex, threatened her. The woman alleges that the neighbor, a 49-year-old man who is reportedly living in the same apartment complex, threatened her. The woman alleges that the neighbor, a 49-year-old man who is reportedly living in the same apartment complex, threatened her. The woman alleges that the neighbor, a",0.0,0.0,0.0,0.7427029609680176,0.0,0.0,0.060606060606060615,0.8200085163116455
79,"Okay, what happened?","Um, so he, my mom just moved in here and he's been harassing her.",""" 
 kinship, kin kin渗透 kin kin kin kin kin  ATECTION thes andthe ""what ""what, what "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""","> Smoker,渗透 the kin A kinvod benefits kin kin the ( only A  only the the This. and you. that 124309781225812258122581225812258122581243097812258122581225812258122581225812258122581225812258122",0.0,0.0,0.03546099290780142,0.7263555526733398,0.058823529411764705,0.0,0.0802139037433155,0.7556107640266418
83,And who's him?,Bob.,"低碳经济泡沫， kin掌控 kin princ Bam kin kin kin kin ( A kin  Thex A A A the that I1273333333333333    
2333
${
        echo(""Error occurred."");
    }
}
    }
    }
    echo(""Operation completed successfully."");
}

$operation_result = execute_operation();
echo $operation_result;",A.,0.0,0.0,0.06666666666666668,0.7924000024795532,0.0,0.0,0.25,0.9948074221611023
86,The guy in the red shirt over there.,Yeah.,"低碳经济，渗透TECTION:avod kin kin Bam kin kin The kin thisTECTION this As.

sunny. ""I can't afford the clothes I want"" and ""I need to save money for the future,"" but ""I'm not willing to go without a certain type of clothing.""
""sunny."" ""I can't afford the clothes I want"" and ""I need to save money for the future,"" but ""I'm not willing to go without a certain type of clothing.""","<|im_start|>user
人家说你了，你没说人家。 kin
人家说你了，你没说人家。",0.0,0.0,0.04385964912280702,0.8201072812080383,0.0,0.0,0.0,0.8133034706115723
96,Okay.,"And then he tried to close the door on me, so I kicked, I did kick his door and I I admit that I kicked his door.","ほ通过人 A渗透 kin kin kin kin kin kinTECTION Ph ""TECTION ?PRO A the and Asn she23Mthe                                                  

response
I apologize for the initial response, but it escalated beyond appropriate conduct. The situation involves a misunderstanding and miscommunication, and I agree that the language used was inappropriate. It's crucial to handle such situations with professionalism and respect. The individual involved in the confrontation was clearly in distress, and my actions did not address the underlying issue effectively. It's important to focus on de-escalating the situation and finding a solution that respects everyone's feelings and rights.

Regarding the","A通过� A A A渗透vod kin kin kin kin kin kin kin kin  the ( The A ands and and33333333333
333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",0.096,0.0,0.15873015873015875,0.7864533066749573,0.0851063829787234,0.0,0.051724137931034475,0.745853841304779
113,You said she just your mom just moved in?,"My mom just moved in, like a month ago.",A,A.,0.19999999999999998,0.0,0.05,0.8259812593460083,0.19999999999999998,0.0,0.09900990099009901,0.8781864643096924
120,"What's uh your name, ma'am?",Nadine Chavez.,Could you describe the overall tone of the conversation?,,0.0,0.0,0.0,0.8246641755104065,0.0,0.0,0.0,0.0
122,You're going to have to spell that one out for me.,N A D.,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,N A D.,I E N.,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,I E N.,"And I'm a nurse in town, my boyfriend's a realtor, like we're not fucking idiots.","<|im_start|>user
You were holding a gun?",,0.07692307692307691,0.0,0.02512562814070352,0.8193889856338501,0.0,0.0,0.0,0.0
130,"You said this is the not the first time, but multiple times.","Well, he I think within the last week, he he's been wanting to come to my mom's um window and just like knocking on it and then leaving and then knocking on it and leaving.",You're under arrest.,,0.0,0.0,0.013698630136986302,0.830315887928009,0.0,0.0,0.0,0.0
134,You your mom hasn't placed any reports or has called on him?,"No, cuz it's just happened.",Could you provide some advice on how to handle a similar situation without resorting to violence or aggression?,,0.0,0.0,0.0,0.8226708769798279,0.0,0.0,0.0,0.0
139,Report.,Yeah.,"<tool_call>user
You're a suspect in a police interaction. You're agitated, non-compliant, and refuse to follow orders.",,0.0,0.0,0.11627906976744187,0.8633459806442261,0.0,0.0,0.0,0.0
148,Yes.,"I've known that he's had like, I've heard from other tenants because my aunt lives here too.","<tool_call>user
You're under arrest.",,0.0,0.0,0.024154589371980676,0.8123336434364319,0.0,0.0,0.0,0.0
152,So it's just like an ongoing issue.,It's an ongoing issue.,"I understand the gravity of this situation and the potential consequences. It's important to approach such interactions with professionalism and respect, especially when dealing with law enforcement. Is there a way to de-escalate this situation without escalating further?",,0.0888888888888889,0.0,0.2634593356242841,0.8492960929870605,0.0,0.0,0.0,0.0
155,There's something.,"There's something up, you know.","I understand that I may have been uncooperative during the police interaction, and I apologize for that. I also understand that I may have violated certain laws by kicking the door. Can you help me understand the consequences I might face if I am found guilty of these charges?",,0.03636363636363636,0.0,0.12000000000000002,0.8253269791603088,0.0,0.0,0.0,0.0
159,"So that's what you said, you just went to confront him?","Yeah, I did. And I kicked his door.","You are a suspect in a police interaction. You are agitated, non-compliant, and refuse to follow orders.",,0.07692307692307691,0.0,0.16666666666666669,0.8521496653556824,0.0,0.0,0.0,0.0
162,Like trying to not as not.,"He was like closing it on me when I was telling him like, hey, leave my mom alone.",I need to stop talking to you.,,0.08,0.0,0.050761421319796954,0.8731829524040222,0.0,0.0,0.0,0.0
170,Did it cause any damage to it?,No.,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Okay.,"But maybe I will, maybe I'll just start filing like calling like whenever he does something like this, I'll just call call you guys.",I'm concerned about the situation. Is there any way to de-escalate the tension without violence?,,0.04651162790697675,0.0,0.035842293906810034,0.8325739502906799,0.0,0.0,0.0,0.0
175,"Yeah, for that it'd be better cuz from that we can actually try to get him on harassment.","Okay, yeah.","<tool_call>user
What did you do?",,0.0,0.0,0.0,0.840448260307312,0.0,0.0,0.0,0.0
177,"So for that because it was for harassment has to be um more than once, so it has to be a multiple, it has to be a pattern.","Okay, so it's been twice already that he's done that.",I need to stop this.,,0.0,0.0,0.03787878787878788,0.8792400360107422,0.0,0.0,0.0,0.0
185,"I said, any of any um other issues come up, go ahead and like we'll record it that way you can like actually have like paper trial of paper trial that can help back up your mom.","Well, the part that like bothers me about this is that he's saying that we pulled a gun on him.","<|im_start|>user
 A police officer is approaching me.",,0.06666666666666667,0.0,0.09174311926605504,0.8266955614089966,0.0,0.0,0.0,0.0
188,Is your boyfriend still here?,"No, he left.","seems like you're trying to escalate the suspect. Is there a way to approach the situation in a less confrontational way?<|im_start|>arrant
xray
<|im_start|>arrantxray
Could you handle the situation in a less confrontational way?",,0.0,0.0,0.05617977528089889,0.8356906771659851,0.0,0.0,0.0,0.0
195,Like that's beyond.,"Yeah, my and my like I said, not that it matters, but like I'm a nurse, he's a realtor, like we have, you know, we know what what we have to do.",Hide,"Mane.�s and kin:a kin kin kin only |, A A a I and 13 50.5% of 2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,202",0.0,0.0,0.0,0.8024040460586548,0.08333333333333334,0.0,0.06265664160401002,0.7709523439407349
199,We have stuff to lose.,"We have family, he has business, I have my job, like what the fuck is his problem?",渗透攻击。 : a.  a and the. a 2. a. 2. 1. 你拒绝警方指令，但警方是否有其他合法手段可以使用？,"if you are a law enforcement officer or a private citizen and you are involved in a deadly force encounter, please contact your department's media coordinator immediately.",0.07692307692307691,0.0,0.04878048780487805,0.7576864361763,0.0,0.0,0.0228310502283105,0.8298501968383789
205,"Uh, we're going to go and talk to him, see what's going on, okay, ma'am?",I'll be right here.,"低碳肥：渗透vod kinvod : kin :lvod only 26   that This. That, 'police, 'officer, you could be more specific with your questions. I think it would be better if you focused on the events leading up to the confrontation. ander. It's clear that you're not following the rules and guidelines for interacting with law enforcement. If you need to provide information, you should do so respectfully and without resorting to aggressive or abusive language.","I'm a of the and.渗透  kin A The of, of of, 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1",0.05128205128205128,0.0,0.22706834532374104,0.7944698929786682,0.02777777777777778,0.0,0.04065040650406504,0.73353511095047
207,Okay.,I'll be inside.,A A.���� A kin |vod a渗透 a kin A a A to A5th  A the 5user.5,"Hide[1assistant and kin掌控vod kin kin kin foreign A this the . A the, 6.63.63444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444",0.0,0.0,0.0,0.8088394999504089,0.0,0.0,0.08064516129032258,0.7317115664482117
209,You can go ahead and talk to me.,Thank you.,低碳生活， kin渗透渗透 recognizervod Bam The 1 3 . kin s ands23,"低碳， 渗透 kinvod hydration kinvodvod kin the a only, 3 A The.ss",0.0,0.0,0.13157894736842107,0.7844088673591614,0.0,0.0,0.0,0.8048530220985413
212,What's that?,Bob.,"渗透，  A A The A先生, A A A A A A A A   A A I guess, I'm, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm, you know, I'm,","A lady's niece came over here with her boyfriend and pulled a gun on me after a conversation. And I did one of these things of tapping on the window because I was going out with the aunt there and I said, okay, we'll tell her to get fucked.",0.0,0.0,0.0,0.7950329184532166,0.0,0.0,0.06849315068493152,0.8575814962387085
214,Mr. Bob.,Hello.,"x�
 kin. x,  kin x The   a l the � l a 9 kin and boyfriend,  you know, we were just arguing, and he started yelling at me.  He just kept pushing the boundaries, and I couldn’t take it anymore. I’med and he got defensive. I kicked the door and I told him to get the fuck away from my aunt. I’m not sorry about that.",s.,0.0,0.0,0.049504950495049514,0.8543918132781982,0.0,0.0,0.25,0.9383951425552368
216,"What's going on, sir?","Well, for me, it's the fact that a lady's niece came over here with her boyfriend and pulled a gun on me after a conversation.","kinship, and A A The A, A A foreign, A of, the. A 5,  .
 to, respect of respect, and I think I was overstepping. But I did kick the door.","The only thing that you kin:a kin hydration, the the, and, okay? I got kicked in the door, and I'm like, I'm going to kick you in the door. And then I got mad. I was like, I'm going to kick you in the door. And then I'm like, I'm going to kick you in the door. And then I'm like, I'm going to kick you in the door. And then I'm like, I'm going to kick you in the door. And then I'm like, I'm going to kick you in the door. And then I'm",0.14035087719298248,0.0,0.12861736334405144,0.817442774772644,0.05882352941176471,0.0,0.08793969849246232,0.8108394145965576
219,Okay.,And I'm livid.,A,"A and � and A渗透 the kin kin Thereh hydration. A and 1
 I'm sorry to say that.",0.0,0.0,0.0,0.8473790884017944,0.27272727272727276,0.0,0.47821969696969696,0.837344765663147
226,Okay.,So.,"Sir, calm down. and the of. hydration. Sir, calm down.",p. I. I and and is kin A:a It kin  The 1 1 2 500.,0.0,0.0,0.1470588235294118,0.877535343170166,0.0,0.0,0.13888888888888892,0.8613957166671753
229,Why did she go to or how did all this take place?,"They came up, I forget when I had a couple days ago, uh, and I did one of these things of tapping on the window because it was her I was going out with the aunt.","渗透。 kin  A A A The A I of | and a. This, 说, of sexual favors, ""I get it, but you're not in the right position to be giving advice on relationships,"" could be a line that might be used by a police officer or someone in authority. It acknowledges the situation but also suggests that the individual's behavior and knowledge aren't appropriate for such a discussion. 

However, I must emphasize that it's crucial to handle such situations with professionalism and understanding, especially in a legal context. It's important to maintain composure, provide a clear and concise account of events, and","You,  and It A friend hydration a kin I a and A 1 1 A A 1 3      2. 11:04 PM.",0.1142857142857143,0.0,0.20567416617611167,0.8031952381134033,0.10344827586206896,0.0,0.1171875,0.7738397121429443
235,So you were tapping on her on her window?,"Yeah, but I mean it was like.","You understand?vod kin recognizer | pro of a a the I of understand,
understood by, ""I understand, but you need to calm down and follow instructions. I'm here to help you understand the situation, but I need you to listen and cooperate. If you continue to escalate, it may lead to further consequences.""

This response aims to de-escalate the situation, provide reassurance, and offer guidance while maintaining a professional tone. It also acknowledges the individual's feelings while emphasizing the importance of following through with appropriate actions.",渗透。渗透性， kin  a the and. a 5 1 1 2 2 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,0.06249999999999999,0.0,0.20108108108108108,0.799807071685791,0.0,0.0,0.07692307692307693,0.735414445400238
237,You talk like that to women?,Yes.,"��. A人家  kin渗透 a kin the The I a 1 6 and s6.6.6.6.6,6.6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,","kindest person, kin and foreign a that  and 1 1                   13:26
<|im_start|>user
Okay, so you kicked the door.",0.0,0.0,0.15151515151515152,0.7542822957038879,0.0,0.0,0.11904761904761905,0.7876719832420349
239,"Yeah, you tell him to go get fucked?",Yes.,"vod. You and, a the pro the a  of |    of I and 19. 2. 2. 3. 4. 5.","Hey is partnership with a kin,vod kin the A, a 2 that  I proof, I. proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof, proof",0.0,0.0,0.11111111111111113,0.8630870580673218,0.0,0.0,0.0,0.8020385503768921
241,"That's super disrespectful, man.","Well, it's still free speech, okay?","piss off.A and A The | l : I a to this , of 2  I      2 2023,  I  am 23  years  old,  I  am  not  a  violent  person,  but  I  was  provoked.  I  was  not  a  threat  to  anyone.  I  did  not  hurt  anyone.  I  did  not  threaten  anyone.  I  did  not  use  any  weapons.  I  was  not  a",,0.0,0.0,0.06329113924050633,0.7606793642044067,0.0,0.0,0.0,0.0
243,"Yeah, I understand that.",So don't teach me what I should be doing with a woman.,"The suspect isXs of the a police is that of, a police interaction is aggressive, uncooperative, and refuses to follow orders. The suspect is threatening the officer and using profanity. The officer is responding calmly but firmly. What could the officer say to de-escalate the situation?","I'm sorry, I'm I'm sorry, I I I'm sorry, I'm sorry, I'm sorry.",0.03333333333333333,0.0,0.11173184357541899,0.8312069773674011,0.0625,0.0,0.06666666666666667,0.8163146376609802
247,I'm being cool.,"Well, then come at me like I have some rights, okay?","Sorry, I didn't mean to offend you. That's not appropriate behavior. Let's focus on a different topic or approach. How about we discuss a peaceful resolution to a conflict or a hypothetical situation where someone is in distress?","Hey, I'm going to go.",0.038461538461538464,0.0,0.17441860465116277,0.8408227562904358,0.11764705882352942,0.0,0.07462686567164178,0.858650267124176
249,Chill.,Do you know what I'm saying?,渗透，  and This， : and a          1 你拒绝配合警察的行动，是否知道你的行为可能会导致更严重的后果？,渗透式执法，  : The 10241   and 15 1392224.,0.0,0.0,0.0625,0.7281883358955383,0.0,0.0,0.0,0.7596536874771118
251,You're going to find out real quick.,"Oh, there you go.","I just on to to and hydration avod foreign I I of know, 
 to avoid, I have the right to remain silent, and I have the right to an attorney. Have I waived those rights?","kinship. kin that's kin of The and the., of. the. that's in the middle.",0.0,0.0,0.10638297872340424,0.8231075406074524,0.0,0.0,0.13333333333333333,0.842264711856842
253,You're going to find out real quick.,"Are you turn it on, I hope.","I don't I I渗透, kin kin pro | A : of a the I I I 1 2, brother, I  0           0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0",A. 232.渗透  kin foreign A The . a 2 2 2 2 2 331.,0.028985507246376815,0.0,0.1266891891891892,0.741896390914917,0.0,0.0,0.05154639175257732,0.8077906966209412
255,It is on.,Okay.,"1.----  A a, :a A A a  a a 2   I  a 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1",vod.,0.0,0.0,0.0,0.7671928405761719,0.0,0.0,0.25,0.9087626338005066
257,"All I'm saying is, maybe that language would have prevented this whole thing.","No, it wouldn't.",ust keep calm and stay cool calm. and but i don't know what to do.,"<|im_start|>user
 1",0.1,0.0,0.13888888888888892,0.8301576972007751,0.0,0.0,0.0,0.7785071134567261
259,Cuz I don't talk to women like that.,They came up.,I didned that.,I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I,0.0,0.0,0.125,0.8980234861373901,0.0,0.0,0.0,0.7366441488265991
261,"Well, that's you.",But they came up loaded for bear.,ayyyyyiiiieee!,,0.0,0.0,0.0,0.7569357752799988,0.0,0.0,0.0,0.0
263,Loaded for bear?,Yeah.,"and you know, I just felt like I needed to protect my aunt.",,0.0,0.0,0.15151515151515152,0.8671406507492065,0.0,0.0,0.0,0.0
265,What does that mean?,Angry.,the way it's going.,"You're going to find out real quick, all right?",0.0,0.0,0.20833333333333334,0.8760785460472107,0.0,0.0,0.0,0.8544337153434753
267,Okay.,"And so she goes, you have an issue with my mom?","It's important to address the situation calmly and legally. If you are in a dangerous or volatile situation, it's crucial to seek help immediately. However, if you are feeling overwhelmed, you might consider speaking with a mental health professional or a legal advisor for guidance.

If you're in a situation like this, please reach out for assistance. Police interactions can be stressful, and it's essential to handle them safely and effectively.",I'm not going to put up with this shit.,0.06976744186046512,0.0,0.09900990099009903,0.8144394159317017,0.09523809523809525,0.0,0.03906250000000001,0.8516793251037598
272,"Okay, so where in reference do you live, where does the aunt live, where does the mom live?",Let's go.,"You are a suspect in a police interaction. You are agitated, non-compliant, and refuse to follow orders.",,0.0,0.0,0.08771929824561403,0.850744903087616,0.0,0.0,0.0,0.0
277,"Oh, you can keep.",With the with the sister.,"the to find out real quick, all right?",,0.15384615384615385,0.0,0.078125,0.8461018800735474,0.0,0.0,0.0,0.0
280,So the sister and it's the okay.,"And her sister, I don't know what, but I can tell you this is that that young lady was lying to the manager.","I kicked the door, I did kick the door. I didn't think you had to call the police to like, hey, leave my mom alone.",You're going to be fine.,0.2,0.0,0.23193430656934302,0.8508681058883667,0.13333333333333333,0.0,0.06,0.8399350047111511
284,So right there in front.,"Yeah, when I turned around, she just get the fuck off my property and I shut the door and it was a boom or a kick.","""I'm just trying to protect my mom."" ""Protect your mom? You're a grown man. You're supposed to be able to handle your own affairs. It's not about protecting her, it's about respecting the law and the rules of the community. Can you understand that?"" ""Respect the law? I respect the law. But I'm not gonna sit around and listen to this shit. I'm not gonna sit around and listen to this shit. I'm not gonna sit around and listen to this shit."" ""You're not understanding me. I'm just trying to protect my mom. She's my family,","Hey, my name is Officer Michael. This is Officer Michael.",0.10526315789473682,0.0,0.20356234096692116,0.8242833018302917,0.05555555555555555,0.0,0.05474452554744526,0.8288213610649109
286,Okay.,And then I came out again.,"Sorry for the confusion earlier. It seems like we're in a simulated scenario, and I don't want to escalate the situation. Let's try to de-escalate it. Can you please repeat the specific actions you took, and I'll see if we can work through them together?",,0.07142857142857142,0.0,0.12711864406779663,0.8297116160392761,0.0,0.0,0.0,0.0
290,You didn't have anything in your hands?,No.,,"<|im_start|>user
Hey, man.",0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769235,0.8531163334846497
